acupoint,internationalnumber,nickname,meridian,place,symptom,matchpoint,picture,massage,massage_no,moxibustion,moxibustion_no,cupping,cupping_no,puncture,puncture_no,scratch,scratch_no,five_element_point,yuan_primary_point,meridian_name,luo_connecting_point,intersection_point,fiveshu_point
正營穴," GB17"," ",13,頭頂部，前髮際後3.5寸，頭正中線旁開2.25寸處，當頭臨泣與風池的連線上。《針灸甲乙經》：「在目窗後一寸」；《針灸大成》作「目窗後寸半」。,祛風，利口齒。古典：頭項偏痛，目眩，痰飲頭暈，嘔吐不已，齒痛，唇吻急強。現代：鼻炎。,眩暈：印堂、太陽、正營、風池。  ,https://4.bp.blogspot.com/-6GjlPzKV9ys/WPw-dQ0oDRI/AAAAAAAASKI/IH5pLAj46f4gU8V70-JXb7ZIY1sXt4HnACK4B/s400/zhengyins.jpg," "," "," "," "," "," "," "," "," "," ",NULL,NULL,足少陽膽經,NULL,NULL,NULL
步廊穴," KI22"," ",12,胸部正中線（中庭）旁2寸，第五肋間隙凹陷處。《針灸甲乙經》：「在神封下一寸六分陷者中」；《醫學入門》：「去中庭外二寸」。,寬胸、利氣、降逆。古典：胸脅支滿、呼吸少氣、喘息不得舉臂、嘔吐、不嗜食、喘息不得舉臂，嘔吐、不嗜食、膈逆不通、鼻塞。現代：肋間神經痛、驚悸、怔忡。,氣喘：肺俞、步廊。  ,https://1.bp.blogspot.com/-c5nph_JwF18/WPiMNc3JQQI/AAAAAAAARqE/wbovu7ZKB-U-B3uuxO2N1nfJbJbvl-NjgCK4B/s400/bulang.jpg,"按摩:用大拇指按揉200次,能治探氣喘、咳嗽。"," ","艾灸:用艾條溫和灸5〜20分鐘,可治療嘔吐、咳嗽多等。"," "," "," "," "," "," "," ",NULL,NULL,足少陰腎經,NULL,NULL,NULL
歸來穴," ST29","溪穴 ",14,下腹部，臍中下4寸（中極）旁開2寸處，當天樞下4寸，氣衝上1寸。《針灸甲乙經》：「在水道下二寸」；《循經考穴編》：「與曲骨相平」；即臍中下5寸（曲骨）旁開2寸處。《針灸逢源》：「在氣衝上一寸，當臍下四寸旁，其上下各去一寸也。」《動功按摩秘訣》：「在臍心下四寸，兩旁各二寸；臥下舉頭，有鼠形肉上。」今從《針灸逢源》。,理氣，提胞，治疝。古典：少腹痛，奔豚，疝氣，陰丸上縮，月經不調，經閉，陰冷腫痛，帶下，婦人血藏積冷，男子陰萎。現代：睪丸炎，子宮內膜炎，卵巢炎，不孕症，產後惡露不止。,疝氣偏墜：歸來、太衝。男女生殖器病症、經閉、白帶過多：歸來、關元、中極、三陰交、腎俞。,https://1.bp.blogspot.com/-uGRYxhW6H-0/WQRdShf4OSI/AAAAAAAATQk/_5Oay4WAXnk6iYKQj4cPVf2aaZtfHyuWACK4B/s400/guilai.jpg,"按摩:用大拇指或掌根按揉200次,可用於治療小腹痛、痛經。","注意事項：力道適中,以有酸脹感為宜。","艾灸:用艾條溫和灸5〜20分鐘,可用於治療小腹痛、痛經、帶下增多。","注意事項：艾灸時,注意不要隔著衣服。","拔罐:用火罐留罐5〜10分鐘,隔天1次,可用來治療小腹冷痛。","注意事項：拔罐時,注意不要隔著衣服。"," "," ","刮痧:從中間向兩側刮拭3~5分鐘,隔天1次,可用於治療痛經、帶下病。","注意事項：刮痧時,注意不要隔著衣服。",NULL,NULL,足陽明胃經,NULL,NULL,NULL
殷門穴," BL37"," ",11,大腿後面，臀下橫紋中點（承扶）下6寸，股二頭肌與半腱肌之間凹陷處，當承扶與委中的連線上；或定于臀下橫紋中點（承扶）與膕橫紋中點（委中）連線的中點處。《針灸甲乙經》：「在肉郄（承扶）下六寸」，《類經圖翼》補充：「膕上兩筋之間」；《針灸內篇》註：「或云在委中上八寸半。」,利腰腿。古典：腰痛、股外腫、陰囊虛脹。現代：腰腿痛、坐骨神經痛、急性腰扭傷。,腰椎間盤突出症：殷門。,https://3.bp.blogspot.com/-HGGNLrmh-1o/WPdwzWgoSjI/AAAAAAAARiI/P3f14Ks6LtgSaTDO3h3gT5VXv6QVB1BYQCK4B/s400/yinmen.jpg,"按摩:用大拇指按揉或彈撥200次,每天持續,能治療下肢後側疼痛。","注意事項：力道適中,以有酸脹感為宜。","艾灸:用艾條溫和灸5〜20分鐘,每天1次,可用於治療下肢疼痛。",注意事項：以局部有溫熱感、無灼痛為宜。,"拔罐:用火罐留罐5〜10分鐘,隔天1次,用於治療下肢疼痛。",注意事項：留罐時間不宜超過20分鐘。," "," ","刮痧:從上向下刮拭3~5分鐘,隔天1次,可治療腰腿痛、下肢疼痛",注意事項：宜單向、循經絡刮拭。,NULL,NULL,足太陽膀胱經,NULL,NULL,NULL
氣戶穴," ST13"," ",14,胸部，鎖骨中點下緣凹陷處，距前正中線4寸。《針灸甲乙經》：「在巨骨下，俞府兩傍各二寸；」《素問•氣府論》王冰註：「下直膺窗，去膺窗上同身寸之四寸八分」；《針灸大成》：「去中行各四寸」；《循經考穴編》：「與璇璣平」；《醫宗金鑒》：「從缺盆下行，巨骨下一寸。」,宣肺、理氣。古典：哮喘，咳嗽，胸脅支滿，胸背疼，四肢浮腫，呃逆，呼吸肩息，不知食味，脇肋痛。,喘逆上氣：氣戶、雲門、天府、神門。脇肋疼痛：氣戶、華蓋。胸前神經痛：氣戶、庫房、屋翳、膺窗。  ,https://1.bp.blogspot.com/-3CuGZRKR2L0/WPRrRN5eUYI/AAAAAAAAQ7Y/PE9SZLgT1zIodE99jN7Q1X4Y_CU6_hNVACK4B/s400/qihu.jpg,"按摩:用大拇指按揉200次,能夠防治胸肺部疾病。"," "," "," "," "," "," "," "," "," ",NULL,NULL,足陽明胃經,NULL,NULL,NULL
氣海俞穴," BL24"," ",11,背部第三腰椎棘突下旁開1.5寸處。《太平聖惠方》：「在第十五椎下兩旁，同身寸相去一寸半」。,調下焦、健腰膝。古典：腰痛、腿膝不利、痔漏、瀉血。現代：月經不調、功能失調性子宮出血、下肢癱瘓。,功能失調性子宮出血：十七椎、氣海俞、三陰交。  ,https://3.bp.blogspot.com/-wK4v0yktSEc/WPdzqYuEMqI/AAAAAAAARig/l8r1EV2L8-YDzZ9jdfIxFNB0locWxRdXACK4B/s400/qihaishu.jpg,"按摩:用大拇指按揉200次,能治療腰痛、陽痿等疾病。"," ","艾灸:用艾條溫和灸5〜20分鐘,可於治療腰膝酸軟、痔瘡。"," "," "," "," "," "," "," ",NULL,NULL,足太陽膀胱經,NULL,NULL,NULL
氣海穴," RN6","脖胦, 下氣海, 下育 ",1,"中脘、氣海、命門、腰陽關穴位橫斷面 (引自《嚴振國穴位解剖》)氣海穴位 (引自《經絡與穴道》)下腹部正中線臍中下1.5寸處，當臍中與關元連線的中點。《針灸甲乙經》：「在臍下一寸五分」。",理氣，益氣。古典：臟氣虛憊，真氣不足，四肢厥冷，中風脫證，遺尿，腹痛，腹瀉，便秘，臥善驚，症瘕，痛經，崩漏，帶下，陽萎，遺精。現代：功能失調性子宮出血，尿瀦留，腸麻痹，胃下垂，呃逆，脫肛，子宮脫垂，不孕症，男子性功能障礙。,五淋：氣海、血海。帶下：氣海、小腸俞。痛經：氣海、中極、三陰交。中風脫證：氣海、關元、神闕。  ,https://1.bp.blogspot.com/-wz8HxzssmaA/WP30X2BO2rI/AAAAAAAASfU/vh-ZKzWHFh8eabxbSqoQPBJvtBWhlSo7ACK4B/s1600/qihai.jpg,"按摩:用大拇指按揉200次,能治療四肢乏力。"," ","艾灸:用艾條溫和灸5〜20分鐘,可用於治療各種氣虛證候及痛經、月經不調等疾病。"," "," "," "," "," "," "," ",NULL,NULL,任脈,NULL,3,NULL
氣穴," KI13","胞門, 子戶 ",12,下腹部臍下三寸（關元）旁開五分處。《針灸甲乙經》：「在四滿下一寸」；《循經考穴編》：「與關元平」。,調經、利氣、止瀉。古典：月事不調、腹痛、帶下、子宮虛寒、不孕、濁氣凝結下焦、泄痢不止、赤白淋瀝、兩脇疼痛、氣上下引腰脊痛。現代：腸炎、尿路感染、痛經、閉經。,閉經：關元、氣穴、三陰交。  ,https://2.bp.blogspot.com/--34mKHZmvPE/WPi4N27kxjI/AAAAAAAARuw/kaxv67VkJ6Ei2ICZOIJNSvRQKWKzGoLigCK4B/s320/qixue.jpg," "," "," "," "," "," "," "," "," "," ",NULL,NULL,足少陰腎經,NULL,NULL,NULL
氣端穴," EX-LE12"," ",,在足十趾尖端，距趾甲游離緣0.1寸，左右共十穴。,腳氣，中風昏迷，足趾麻木，腳背紅腫，疼痛。,腳氣：風市、伏兔、犢鼻、膝眼、足三里、上廉、下廉、八風、氣端。中風不省人事：水溝、合谷、氣端。  ,https://2.bp.blogspot.com/-sJ48kuEfJMQ/WQHBuBNCQZI/AAAAAAAATIs/psLGhUZAIYM_wpu1qFgA11YKDAxRLmd5gCK4B/s1600/qiduan2.jpg," "," "," "," "," "," "," "," "," "," ",NULL,NULL,NULL,NULL,NULL,NULL
氣舍穴," ST11"," ",14,頸部，鎖骨內側端上緣，胸鎖乳突肌的胸骨頭與鎖骨頭之間凹陷處；當鎖骨上小窩中。《針灸甲乙經》：「在頸，直人迎下，俠天突陷者中」；《循經考穴編》：「天突旁開一寸五分」；《類經圖翼》「貼骨尖上有缺」。,利咽喉，消癭腫。古典：喉痹，咳逆上氣，頸項強不得回顧，瘰癧，呃逆，肩腫，癭瘤，咽腫，哽咽食不下，瀉痢。,瀉痢：脾俞、關元、腎俞、復溜、腹哀、長強、太溪、大腸俞、足三里、氣舍、中脘。  ,https://3.bp.blogspot.com/-g_-I36ioSBs/WPRkUwMpW2I/AAAAAAAAQ6Y/k_YUMLtA9BIwPSXIJ1oMYF1_umII1XcNQCK4B/s400/qishe.jpg,"按摩:用大拇指或中指按揉200次,每天1次,能夠用來防治肺部疾病。"," "," "," "," "," "," "," "," "," ",NULL,NULL,足陽明胃經,NULL,NULL,NULL
氣衝穴," ST30","氣街, 羊矢 ,氣沖",14,腹股溝稍上方，臍中下5寸（曲骨）旁開2寸。當恥骨聯合上緣中點旁開2寸，股動脈搏動處。《針灸甲乙經》：「在歸來下，鼠鼷上」；《循經考穴編》：「合臍下六寸」；《針灸逢源》：「與臍下五寸曲骨平」；今從《針灸逢源》。,舒宗筋，散厥氣，調膀胱，和營血。古典：陰腫莖痛，睪丸痛，疝痛，奔豚，婦人經漏，不孕，胎產諸疾，脅中滿，喘呼逆息，腹痛，暴腹脹滿，癃淫濼，身熱，腰痛控睪，少腹及股卒俯不得仰，脫肛，熱淋閉不得尿，石水，難產，子上搶心，陰萎，脾胃虛弱，感濕成萎，汗大泄，妨食，帶下產崩，腸鳴。現代：男女生殖器疾患。,疝氣：氣衝、曲泉、太衝。  ,https://3.bp.blogspot.com/-6a5iBiV4Ge0/WPTVcfeHsdI/AAAAAAAARDw/lRu4agvhMuAWfzjLW8COHMtPSuA7dDvvwCK4B/s400/qichong.jpg,"按摩:用大拇指按揉200次,可以用來治療小腹痛、痛經","注意事項：力道適中,以有酸脹感為宜。","艾灸:用艾條溫和灸5〜20分鐘,每天1次,可用於治療小腹痛、疝氣、痛經、不孕、陽痿。","注意事項：艾灸時,注意不要隔著衣服。"," "," "," "," "," "," ",NULL,NULL,足陽明胃經,NULL,NULL,NULL
氣門穴," EX-CA8"," ",,在臍下三寸，再外開三寸處。即關元穴旁三寸。,小便不利，子宮出血，不孕，漏胎下血，少腹痛。,婦女產後惡露不止：氣門、氣海、三陰交、脾俞、肝俞、交信。  ,https://2.bp.blogspot.com/-UyouUVTM9qk/WP89To0qrjI/AAAAAAAAStc/jH3ZtK8WxVMph5adwCeJCPsrAVqGQPS9gCK4B/s320/qimeng.jpg," "," "," "," "," "," "," "," "," "," ",NULL,NULL,NULL,NULL,NULL,NULL
水分穴," RN9","中守, 分水 ",1,上腹部正中線臍上一寸處。《針灸甲乙經》：「在下脘下一寸，臍上一寸。」,利水，消脹，緩拘急。古典：脊強，里緊，腹中拘緊痛，腸鳴，胃虛脹，不嗜食，繞臍痛，水腫，鼻出血。現代：腎炎，胃炎，腸炎。,浮腫：水分、脾俞、三陰交。水腫：水分、復溜。腹滿虛脹：水分、水道、足三里、三陰交。  ,https://3.bp.blogspot.com/-YswJ6EBgLHw/WP4Yc4XrziI/AAAAAAAASj0/vtFJy9iCMOQiWc2Vg2l2553ojdHIsijWwCK4B/s1600/shuifen.jpg,"按摩:用大揭指按揉200次,每天持續,能治療腹脹、腹痛。"," "," "," "," "," "," "," "," "," ",NULL,NULL,任脈,NULL,NULL,NULL
水泉穴," KI5"," ",12,足內側部，內踝後下方，太溪直下1寸，當跟骨結節的內側凹陷處。《針灸甲乙經》：「去太溪下一寸，在足內踝下」；《循經考穴編》：「居內踝貼骨下，就足跟兩骨陷中」。,調經、益腎。古典：月水不來，心下痛、陰挺、小便淋瀝、腹痛、目不可視、踝痛、足跟痛。現代：子宮脫垂、前列腺炎。,月事違限：天樞、水泉。當臍腹痛：天樞、氣海、水泉。  ,https://3.bp.blogspot.com/-2qAZE-fBGNY/WPiAYLIwm4I/AAAAAAAARo8/A4KPEdPtJ1MrNjxMd9dpSq9Qst350OG-wCK4B/s320/shuiquan.jpg,"按摩:用大拇指用力按揉200次,治療視物模糊、腹痛等。"," ","艾灸:用艾條溫和灸5〜20分鐘,可治療月經不調、痛經等。"," "," "," "," "," "," "," ",NULL,NULL,足少陰腎經,NULL,NULL,NULL
水溝穴," DU26","人中 ",8,面部上唇人中溝正中線上1/3折點處。《針灸甲乙經》：「在鼻柱下人中」；《針灸玉龍經》：「在鼻下三分，銜水突起處是穴」；《針灸聚英》：「近鼻孔陷中」。,開竅，醒神，升陽，消腫，利腰脊。古典：卒死，尸厥，昏迷，中風閉證，口噤不開，驚風，癲，狂、癇，失笑無時，乍喜乍哭，寒熱，心腹絞痛，黃疸，水腫，消喝，歪僻，面腫虛浮，面痒如虫行，唇動，目風痒赤痛，鼻鼽，鼻衄，不聞香臭，鼻內生瘡，口氣，頭痛，脊背強痛，挫閃腰痛。現代：暈厥，休克，呃逆，遺尿，尿瀦留，破傷風，面神經麻痹，癔病，精神分裂症，舞蹈病，抽搐，面肌痙攣，暈車，暈船，暈機，急性腰扭傷。,小兒驚風：印堂、水溝。產婦暈倒：水溝、內關。癔病：水溝、合谷、勞宮。面腫虛浮：水溝、前頂。鼻出血：水溝、水分、陰交。脊膂強痛、挫閃腰痛：水溝、委中。,https://3.bp.blogspot.com/-XQXib6H-Giw/WPyyowyNeSI/AAAAAAAASSo/jPhGZKEdbpQlhdBId77p3Phb1C3dZ6ytgCK4B/s1600/suliao.jpg,"按摩:用大拇指指尖掐按,能夠急救昏迷、休克、窒息",注意事項：急救時用力掐按。," "," "," "," ","刺血:用三棱針點刺,亦可直接針刺,用於腦中風的急救。",注意事項：注意針刺前消毒。," "," ",NULL,NULL,督脈,NULL,3,NULL
水突穴," ST10","水門 ",14,頸部，人迎與氣舍連線的中點；當胸鎖乳突肌前緣，與甲狀軟骨下緣相平處。《針灸甲乙經》：「在頸大筋前，直人迎下，氣舍上」；《類經圖翼》：「內貼氣喉」。,降逆、利咽。古典：咳逆上氣，咽喉腫痛，呼吸短氣，喘息不通。現代：甲狀腺腫大，百日咳，膈肌痙攣，中風偏癱。,咽腫：水突、氣舍。發作性橫膈膜痙攣：水突、膻中、巨闕、關元。百日咳：水突、風門、百會、氣戶。  ,https://2.bp.blogspot.com/-mFm2pM8BjjA/WPRfunUd4SI/AAAAAAAAQ54/J-pJ73aKgmkZuf3I41IbAuZx2R-OtC6mwCK4B/s400/shuitu.jpg,"按摩:用大拇指或中指按揉200次,每天1次,能夠防治肺部及咽喉疾病。"," "," "," "," "," "," "," "," "," ",NULL,NULL,足陽明胃經,NULL,NULL,NULL
水道穴," ST28"," ",14,下腹部，臍中下3寸（關元）旁開2寸處，當天樞下3寸。《針灸甲乙經》：「在大巨下三寸」，大巨當係天樞之誤；《循經考穴編》：「在大巨下一寸」；《針灸逢源》：「與足少陽五樞穴平，當臍下三寸之旁。」《動功按摩秘訣》：「在關元穴兩旁各開二寸。」,利水，消脹，調經。古典：小腹脹滿，狐疝，膀胱有寒，三焦結熱，小便不利，痛引陰中，月經至則腰脊痛，子門有寒引髕髀，脊強。現代：腎炎，膀胱炎，尿瀦留，腹水，睪丸炎。,脊強：水道、筋縮。,https://2.bp.blogspot.com/-ipnwN1sfm1Q/WPTWm3ho47I/AAAAAAAAREA/dCRA5f0NZXkNm3FeoiH9u9VMd15AODHZQCK4B/s400/shuidao.jpg,"按摩:用大拇指或掌根按揉200次,可治療小腹痛。"," ","艾灸:用艾條溫和灸5〜20分鐘,可用於治療小腹痛、痛經、大小便不利。"," "," "," "," "," "," "," ",NULL,NULL,足陽明胃經,NULL,NULL,NULL
治喘穴," "," ",,取穴位的時候應採用坐位，治喘穴位於肩頸部，大椎穴左右約二厘米處的凹窪中。,疾病：治喘穴的主治疾病為：指壓治喘穴，對於治療氣喘發作非常顯效，請參閱「穴道指壓法治療氣喘發作」網頁。,,https://i1.kknews.cc/SIG=2ja4urv/6rq40001qr09o8n123ns.jpg," "," "," "," "," "," "," "," "," "," ",NULL,NULL,NULL,NULL,NULL,NULL
浮白穴," GB10"," ",13,頭顳部，耳後乳突的後上方耳根上緣後入髮際一寸處，當天衝與完骨所連弧形連線的上1/3折點。《針灸甲乙經》：「在耳後，入髮際一寸」；《外台秘要》補充：「下曲頰後」；,利口齒，祛風。古典：頭重如石，耳鳴，耳聾，牙痛，足緩不收，痿不能行，不能言，癭氣。現代：甲狀腺腫大。,齒齦痛：浮白、完骨。牙疼：合谷、內庭、浮白、陽谷、三間。  ,https://3.bp.blogspot.com/-O0SmdetM8dw/WPtmFxbG5PI/AAAAAAAASC4/8_gTAWMqYNwgudBL5XBhXvbaMR6mWfb3ACK4B/s400/fubai.jpg,"按摩:用大拇指按揉200次,每天持續,能治療耳鳴、耳聾、頭痛等。"," "," "," "," "," "," "," "," "," ",NULL,NULL,足少陽膽經,NULL,NULL,NULL
浮郄穴," BL38"," ",11,大腿後面，膕橫紋上1寸，股二頭肌內側緣凹陷處，當委陽內上方1寸。《針灸甲乙經》：「在委陽上一寸」；《醫宗金鑒》：「殷門下外斜，循委陽空上一寸。」,舒筋、清熱。古典：小腹熱、大便堅、髀樞不仁、轉筋、不得臥、股內貼骨癰毒。現代：腓腸肌痙攣、膀胱炎。,小腿攣急：浮郄、崑崙。  ,https://4.bp.blogspot.com/-lnuK71I8Dfg/WPdudrroOmI/AAAAAAAARhg/j-SWbi5jEG0fPiMOQxD_vvOUbgo7ERCiQCK4B/s400/fuxi.jpg," "," "," "," "," "," "," "," "," "," ",NULL,NULL,足太陽膀胱經,NULL,NULL,NULL
海泉穴," EX-HN11","鬼封 ",,在口腔內，當舌下繫帶中點處。,消渴，呃逆，熱極難言，重舌腫脹。,尿崩症：海泉、湧泉、聚泉、水泉。癲狂：水溝、少商、隱白、大陵、申脈、風府、頰車、承漿、勞宮、上星、曲池、海泉。,https://2.bp.blogspot.com/-ruR7VnYR69w/WP9iRg66l1I/AAAAAAAASxk/PvQJ6yI8AKsJvYLndl3shx9_nm625MywwCK4B/s320/haiquan.png," "," "," "," "," "," "," "," "," "," ",NULL,NULL,NULL,NULL,NULL,NULL
消濼穴," SJ12"," ",6,上臂伸側面，清冷淵與臑會連線的中點，當肱三頭肌用力收縮時所呈凹陷處。《針灸甲乙經》：「在肩下臂外，開腋斜肘」《黃帝素問直解》高士宗註：「肩貞下三寸」；《循經考穴編》：「肘尖約去六寸…臂外骨內，肘斜分間」。,古典：頭痛、頭暈、癲疾、牙痛、項強、肩背痛、臂外廉腫痛、酸痛無力、風痹。現代：枕神經痛。,項痛：消濼。頸項強痛：風池、天柱、消濼。  ,https://2.bp.blogspot.com/-F14UL7v9H7E/WPm078FbuwI/AAAAAAAAR4A/Je0MkMvOLkcMwiFTZNQ3oE5W8nn7kC94wCK4B/s400/xiaoluo.jpg,"按摩:用大拇指按揉200次,每天持續,能治療頭痛。"," "," "," "," "," "," "," "," "," ",NULL,NULL,手少陽三焦經,NULL,NULL,NULL
液門穴,SJ2,"腋門, 掖門 ",6,手背第4∼5指間，指蹼緣後方赤白肉際處，微握拳取之。《靈樞•本輸》：「小指次指之間也」；《醫學入門》：「小指、次指本節前陷中」；《循經考穴編》：「手無名、小指本節前歧縫尖陷中」。,泄熱、聰耳。古典：熱病汗不出、頭痛、驚悸、瘧、耳聾鳴、項痛、牙痛、耳痛、咽中如息肉狀、咽外腫、喉痛、目赤澀、肘臂痛、手背紅腫、五指拘攣、腕中無力、四肢浮腫、臂不得舉、善驚、妄言、狂疾。現代、癔病、中耳炎、掌指關節痛。,寒熱痎瘧：天池、合谷、液門、陷谷。喉痛：液門、魚際。臂不得舉：液門、前谷。瘧疾：間使、液門、後溪。耳鳴、耳聾：聽宮、液門。  ,https://1.bp.blogspot.com/-AZBCNM-mh2o/WPmN5baYV0I/AAAAAAAARy4/6tp0Z5edqVE6Fkr_l1fU7J_UCfJpl7IYACK4B/s400/yemen.jpg," "," ","艾灸:用艾條溫和灸5〜20分鐘,每天1次,可用於治療心痛。",注意事項：以局部有溫熱感、無灼痛為宜," "," "," "," "," "," ",水穴,NULL,手少陽三焦經,NULL,NULL,滎穴
淵腋穴," GB22","淵液, 泉腋 ",13,側胸部，舉臂，腋下3寸，第五肋間隙凹陷處，當腋窩中(極泉)與第十一肋端連線的上1/4折點。《針灸甲乙經》：「在腋下三寸宛宛中，舉臂取之。」,古典：胸滿，瘰癧，脇肋腫痛，臂不得舉。現代：肋間神經痛，胸膜炎。,馬刀腫瘻：淵腋、章門、支溝。馬刀腋下者：淵腋、支溝、外關、足臨泣。胸脅痛：淵腋、陽陵泉。,https://3.bp.blogspot.com/-mFFGMRmFvyQ/WPug526C-UI/AAAAAAAASHg/vJmHt9t0rkUNAhAJ2NJj5p5w_I6ipl5sACK4B/s1600/yuanye.jpg,"按摩:用大拇指按揉200次,每天持續,能治療胸滿脅痛。"," "," "," "," "," "," "," "," "," ",NULL,NULL,足少陽膽經,NULL,NULL,NULL
清冷淵穴," SJ11","青昊, 青靈, 清冷泉 ",6,上臂伸側面，屈肘時肘尖直上二寸，當天井上一寸處。《針灸甲乙經》：「在肘上一寸(一本作三寸)，伸肘舉臂取之」；《備急千金要方》作「三寸」；《外台秘要》作「二寸」；現皆從二寸。,清利濕熱古典：頭痛，頸強，目黃，肩臂痹痛，脅痛、,肩不舉，不得帶衣：清冷淵、陽谷。肘痛：清冷淵、尺澤。  ,https://1.bp.blogspot.com/-CuAu9ThbVAU/WPmyVH7FCmI/AAAAAAAAR3Y/LaOtU5VdWo8VdxTu9R6dnWM8QDKz9zb8QCK4B/s400/qinglengyuan.jpg,"按摩:用大拇指按揉200次,每天持續,能治療前臂痛。"," "," "," "," "," "," "," "," "," ",NULL,NULL,手少陽三焦經,NULL,NULL,NULL
湧泉穴," KI1","地沖 ",12,"束骨、湧泉穴位橫斷面 (引自《嚴振國穴位解剖》)湧泉穴位 (引自《經絡與穴道》)足底部，卷足時足前部凹陷處。約當足底第2∼3趾趾縫紋頭端與足跟後端連線的前1/3折點。《靈樞•本輸》：&quot;足心也&quot;；《針灸甲乙經》：&quot;在足心陷者中，屈足卷指宛宛中&quot;；《針灸玉龍經》：&quot;在腳底心，轉足三縫中；又以二指至足跟盡處折中是穴&quot;；《針方六集》：&quot;卷足第三縫中，與大指本節平等。&quot;",泄熱、降火、開竅、蘇厥。古典：喘逆、喉痹、身熱、虛勞、癲癎、癲狂、昏厥、嗜臥、善恐、氣上走、煩心、嘔吐、腹脹、脅下支滿、黃疸、大便難、時泄、小便不利、血淋氣痛、頹疝、陰跳痛、陽痿、婦人無子、頭痛、時眩、目無所見、鼻衄、咳唾有血、咽中痛、咽乾舌腫、喑不能言、舌急、陰虛牙痛、痿厥、肩背項痛、腰脊如解、轉筋、筋攣、膝痛不可屈伸、足不得踐地、風疹、小兒驚風。現代：咯血、休克、低血壓、高血壓、失語、精神分裂症、癔病、三叉神經痛、痛風、口舌潰瘍、扁桃體炎、腮腺炎、滯產、小兒流涎、小兒夜啼，預防感冒。,癲癎：勞宮、湧泉。風癎：四神聰、強間、湧泉。小腸連臍痛：陰陵泉、湧泉。消渴：行間、湧泉。休克：內關、足三里、湧泉。,https://4.bp.blogspot.com/-urLuZlli_3E/WPhCc5AOF6I/AAAAAAAARmM/d6ke2AvjpnAp5shCPpOMt1-z0-5cATOLgCK4B/s320/yongquan.jpg,"按摩:用大拇指用力按揉200次,用於治療頭暈、小便不利等。",注意事項：按摩前將雙手搓熱。,"艾灸:用艾條溫和灸5〜20分鐘,每天1次,可用於治療喉痹、頭頂痛。",注意事項：以局部有溫熱感、無灼痛為宜。," "," "," "," ","刮痧:從腳趾向足跟方向刮拭3~5分鐘,隔天1次,可用於治療頭暈、喉痹、足心熱、小便不利等。","注意事項：刮痧後注意保暖 。",木穴,NULL,足少陰腎經,NULL,NULL,井穴
溫溜穴," LI7","逆注, 蛇頭 ",7,前臂背面橈側，腕橫紋上5寸處。屈肘，當陽溪與曲池連線上，陽溪上5寸。《針灸甲乙經》：「在腕後，少士五寸，大士六寸。」,清邪熱，理腸胃。古典：頭痛、口齒痛、喉痹、面浮、肩背酸痛，肩不舉，噦，腹鳴腹痛，疔癰，傷寒寒熱，癲癇、面赤，腫，狂仆，四肢腫，吐涎，口舌痛，膈中氣閉，喉痹不能言。現代：口腔炎、腮腺炎，舌炎。,癲疾：溫溜、僕參。牙痛：飛揚、溫溜、內庭。項強傷寒：溫溜、期門。,https://3.bp.blogspot.com/-NjQxYzDSXgQ/WPOmGRYwmaI/AAAAAAAAQz0/4cteVXac4q8HsZdxuUGQownua8EoiRtmACK4B/s400/wenliu.jpg,"按摩:用大拇指按揉200次,每天持續,能防治鼻出血、牙痛、腹痛、前臂痛等疾病。"," "," "," "," "," "," "," "," "," ",NULL,NULL,手陽明大腸經,NULL,NULL,NULL
滑肉門穴," ST24","滑肉, 滑幽門 ",14,上腹部，臍中上1寸（水分）旁開2寸處，當天樞上1寸。《針灸甲乙經》：「在太乙下一寸」；《類經圖翼》：「對水分」。,古典：舌強，吐血，諸種胃揚病，脫肛，發狂，癲疾，嘔逆，吐舌。現代：腹痛，嘔吐。,吐舌：滑肉門、少海、溫溜。  ,https://4.bp.blogspot.com/-xHsoJOCHh40/WPTF6-HmW5I/AAAAAAAARBg/GEAztDuMjqIKaBuJvUotF0mxi9GvdHHZwCK4B/s400/huaroumen.jpg,"按摩:用大拇指或掌根按揉200次,可用於治療腹痛、腹脹,減肥。"," "," "," "," "," "," "," "," "," ",NULL,NULL,足陽明胃經,NULL,NULL,NULL
漏谷穴," SP7","太陰絡 ",10,小腿內側，內踝尖上6寸，脛骨內側緣後方凹陷處。當內踝尖與陰陵泉的連線上，三陰交上3寸。《針灸甲乙經》：「在內踝上六寸，骨下陷者中」。,健脾，化濕，利氣。古典：腹中熱若寒，腹脹善鳴，強欠，膝內痛，心悲氣逆，少腹脹急，血瘕，小便不利，失精，厥氣上頭巔，痃癖，偏墜，濕痹，腿膝冷，麻痹不仁，足踝腫痛。,血瘕：漏谷、曲泉。  ,https://4.bp.blogspot.com/-_ZP5zSlIXMw/WPXUamo2t2I/AAAAAAAARLY/WxsG5s9APkIhQtxmL6WQ-hmPk7FYet9jACK4B/s640/logu.jpg,"按摩:用大拇指按揉200次,用於治療腹痛、腹脹。"," ","艾灸:用艾條溫和灸5〜20分鐘,可治療水腫、小便不利。"," "," "," "," "," "," "," ",NULL,NULL,足太陰脾經,NULL,NULL,NULL
